-1145.0,52983.0
-1144.0,52984.0
-1179.0,52965.0
-1183.0,52975.0
-1174.0,52972.0
-1153.0,52967.0
-1202.0,52987.0
-1211.0,53005.0
-1202.0,52933.0
-1193.0,52935.0
-1130.0,52947.0
-1155.0,52955.0
-1158.0,52956.0
-1176.0,52916.0
-1190.0,52900.0
-1204.0,52934.0
-1201.0,52933.0
-1190.0,52945.0
-1189.0,52945.0
-1189.0,52945.0
-1181.0,52941.0
-1192.0,52955.0
-1186.0,52956.0
-1123.0,52947.0
-1177.0,52904.0
-1180.0,52898.0
-1126.0,52959.0
-1123.0,52960.0
-1149.0,52962.0
-1150.0,52956.0
-1176.0,52944.0
-1211.0,52955.0
-1216.0,52939.0
-1205.0,52935.0
-1193.0,52956.0
-1193.0,52969.0
-1182.0,52986.0
-1158.0,52988.0
-1155.0,52975.0
-1140.0,52950.0
-1176.0,52916.0
-1179.0,52900.0
-1188.0,52946.0
-1180.0,52949.0
-1174.0,52980.0
-1190.0,52903.0
-1201.0,52933.0
-1216.0,52939.0
-1216.0,52996.0
-1208.0,53007.0
-1185.0,52985.0
-1191.0,52984.0
-1192.0,52954.0
-1181.0,52897.0
-1153.0,52953.0
-1159.0,53009.0
-1187.0,53015.0
-1230.0,52950.0
-1215.0,52938.0
-1184.0,52948.0
-1176.0,52958.0
-1163.0,52957.0
-1153.0,52970.0
-1151.0,52958.0
-1148.0,52959.0
-1151.0,52956.0
-1148.0,52945.0
-1154.0,52954.0
-1162.0,52956.0
-1182.0,52976.0
-1182.0,52941.0
-1167.0,52947.0
-1159.0,52964.0
-1132.0,52945.0
-1139.0,52941.0
-1160.0,52939.0
-1204.0,52943.0
-1204.0,52987.0
-1150.0,52976.0
-1148.0,52979.0
-1128.0,52982.0
-1132.0,52980.0
-1165.0,52993.0
-1158.0,52984.0
-1161.0,52963.0
-1140.0,52953.0
-1160.0,52942.0
-1193.0,53006.0
-1193.0,52999.0
-1150.0,52989.0
-1234.0,52982.0
-1190.0,52956.0
-1193.0,52955.0
-1190.0,52948.0
